claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,zipcode,city,state,county,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income,land_area_in_sqmi
7444,39,F,1.0,69,88171,0,1,Own,80023,1/14/2015,Wednesday,Local,4,0.0,100,Broker,1,0.0,1,Medium,68517.54055,white,35425.5484,0,80023,Broomfield,CO,Broomfield County,15415.0,874.0,6024.0,5658.0,422500.0,110553.0,17.63
9459,29,F,0.0,74,109995,1,0,Rent,15055,10/7/2016,Friday,Local,1,0.0,13,Online,1,0.0,13,Compact,94645.15714,blue,21998.32104,0,15055,Lawrence,PA,Washington County,1360.0,2034.0,717.0,674.0,160500.0,54918.0,0.67
18530,54,F,1.0,69,36517,1,0,Own,15015,6/16/2016,Thursday,Local,16,0.0,41,Broker,0,513.86,1,Large,15000.0,white,36205.38739,0,15015,Bradfordwoods,PA,Allegheny County,1175.0,1256.0,499.0,476.0,271300.0,106875.0,0.94
27573,24,M,1.0,81,62385,0,1,Rent,20138,3/10/2016,Thursday,Parking Lot,0,0.0,11,Broker,0,4312.45,1,Large,27236.30734,black,16515.16155,0,20138,Calverton,VA,Fauquier County,,,,,,,
26165,61,F,1.0,92,56857,1,1,Rent,20119,4/9/2016,Saturday,Local,5,0.0,4,Broker,1,0.0,1,Medium,58629.16724,gray,10377.70616,0,20119,Catlett,VA,Fauquier County,3946.0,62.0,1515.0,1399.0,341500.0,111339.0,63.86
23083,45,M,1.0,86,52321,1,0,Rent,80007,7/3/2015,Friday,Parking Lot,0,0.0,44,Broker,1,5968.28,4,Medium,15000.0,white,30085.28755,0,80007,Arvada,CO,Jefferson County,7262.0,283.0,2640.0,2567.0,455500.0,120202.0,25.66
15319,60,M,1.0,68,101752,1,0,Rent,50025,12/28/2016,Wednesday,Local,9,1.0,44,Phone,1,0.0,9,Large,26887.01237,red,20594.43177,0,50025,Audubon,IA,Audubon County,3325.0,17.0,1630.0,1421.0,68300.0,49457.0,195.92
8046,29,F,1.0,73,71002,1,1,Own,50021,11/2/2016,Wednesday,Parking Lot,0,0.0,24,Online,1,0.0,11,Compact,15000.0,black,25535.19228,0,50021,Ankeny,IA,Polk County,21595.0,839.0,9017.0,8627.0,171500.0,73377.0,25.75
27188,39,F,1.0,94,87143,1,1,Rent,80011,10/3/2016,Monday,Parking Lot,12,0.0,10,Broker,0,0.0,1,Large,53799.15745,red,23383.61579,0,80011,Aurora,CO,Arapahoe County,47461.0,1925.0,17531.0,16223.0,130600.0,40748.0,24.65
11973,29,M,1.0,90,71359,1,0,Rent,85030,7/3/2016,Sunday,Local,0,1.0,4,Phone,1,0.0,1,Compact,45976.37393,silver,5483.93925,0,85030,Phoenix,AZ,Maricopa County,,,,,,,
28479,43,M,1.0,82,46140,1,0,Own,20155,2/4/2016,Thursday,Local,0,1.0,50,Broker,1,0.0,1,Large,61394.30756,red,15848.3393,0,20155,Gainesville,VA,Prince William County,29411.0,1018.0,10357.0,9943.0,396400.0,127974.0,28.9
5761,52,F,1.0,81,70766,1,0,Own,20160,7/1/2016,Friday,Local,1,0.0,46,Phone,1,0.0,1,Compact,15000.0,blue,22265.46818,1,20160,Lincoln,VA,Loudoun County,,,,,,,
19212,39,F,1.0,83,44833,1,0,Rent,15051,3/19/2016,Saturday,Local,0,0.0,6,Broker,0,0.0,1,Compact,15000.0,gray,31043.81477,0,15051,Indianola,PA,Allegheny County,461.0,557.0,246.0,224.0,71300.0,51023.0,0.83
8523,37,F,0.0,79,111184,1,1,Own,85054,4/26/2015,Sunday,Local,0,0.0,88,Phone,0,0.0,3,Medium,62132.24409,white,4197.820259,0,85054,Phoenix,AZ,Maricopa County,5384.0,598.0,3801.0,2967.0,326400.0,67488.0,9.0
3993,28,F,1.0,83,74639,1,1,Rent,15009,8/2/2016,Tuesday,Local,10,0.0,0,Online,1,4494.79,1,Compact,15000.0,white,23169.31694,0,15009,Beaver,PA,Beaver County,15082.0,615.0,6839.0,6342.0,155400.0,54833.0,24.54
14817,45,M,1.0,94,69188,1,0,Rent,85041,8/20/2015,Thursday,Local,0,0.0,76,Broker,0,5141.19,1,Large,16287.51933,silver,31973.08516,1,85041,Phoenix,AZ,Maricopa County,54947.0,3462.0,17226.0,15395.0,107900.0,42204.0,15.87
13524,48,M,1.0,76,43079,1,1,Rent,80003,7/4/2015,Saturday,Parking Lot,0,0.0,61,Phone,0,1601.25,1,Compact,54822.21111,gray,11630.28706,0,80003,Arvada,CO,Jefferson County,35384.0,5193.0,14248.0,13672.0,206900.0,54688.0,6.81
26943,30,F,1.0,78,93428,1,1,Own,20117,9/7/2015,Monday,Parking Lot,0,0.0,49,Phone,0,8151.71,1,Compact,17603.79748,white,8641.357875,0,20117,Middleburg,VA,Loudoun County,2693.0,60.0,1469.0,1168.0,539500.0,103214.0,44.74
19530,45,M,1.0,39,33564,1,0,Own,80037,1/10/2015,Saturday,Local,4,1.0,46,Online,1,8524.71,7,Large,15000.0,silver,44499.63571,0,80037,Commerce City,CO,Adams County,,,,,,,
27730,48,M,0.0,69,123787,1,1,Own,15012,7/23/2015,Thursday,Parking Lot,11,0.0,8,Phone,0,8646.1,1,Large,74578.26819,black,42413.5808,0,15012,Belle Vernon,PA,Westmoreland County,15905.0,474.0,7326.0,6743.0,120400.0,51884.0,33.55
29955,48,M,1.0,94,102563,1,0,Own,20160,10/19/2016,Wednesday,Local,0,1.0,66,Broker,1,2900.45,1,Large,15000.0,black,21738.15301,0,20160,Lincoln,VA,Loudoun County,,,,,,,
26116,40,M,1.0,64,47017,1,1,Rent,85076,11/11/2015,Wednesday,Highway,0,0.0,24,Broker,1,0.0,1,Large,59109.87441,white,14984.92896,0,85076,Phoenix,AZ,Maricopa County,,,,,,,
1567,56,F,1.0,93,76761,1,1,Rent,80011,11/8/2015,Sunday,Parking Lot,22,0.0,69,Broker,0,0.0,1,Compact,61576.60704,other,13464.24535,0,80011,Aurora,CO,Arapahoe County,47461.0,1925.0,17531.0,16223.0,130600.0,40748.0,24.65
23543,29,F,1.0,82,64874,1,0,Rent,85037,7/11/2015,Saturday,Parking Lot,4,1.0,15,Online,0,0.0,1,Large,61034.49566,red,11706.43606,0,85037,Phoenix,AZ,Maricopa County,44771.0,5469.0,14660.0,12774.0,99600.0,47695.0,8.19
18473,40,F,1.0,53,77343,1,1,Rent,15024,5/23/2015,Saturday,Parking Lot,6,1.0,99,Phone,1,0.0,5,Compact,15780.55153,gray,35358.05619,0,15024,Cheswick,PA,Allegheny County,9029.0,540.0,3924.0,3691.0,118200.0,53686.0,16.73
9103,60,M,0.0,57,30745,0,1,Rent,85009,7/2/2016,Saturday,Parking Lot,22,0.0,37,Broker,1,6339.34,4,Compact,30244.90974,other,17082.31371,0,85009,Phoenix,AZ,Maricopa County,52520.0,3371.0,14369.0,12153.0,62800.0,22725.0,15.58
1146,43,F,1.0,52,49398,0,1,Own,15028,8/10/2015,Monday,Local,7,1.0,49,Broker,1,0.0,1,Medium,15000.0,silver,25559.92934,1,15028,Coulters,PA,Allegheny County,142.0,711.0,64.0,63.0,63300.0,52500.0,0.2
4515,41,M,1.0,83,47406,1,1,Rent,85082,5/17/2016,Tuesday,Parking Lot,0,0.0,51,Phone,0,2774.08,6,Compact,26207.43577,red,15771.76772,0,85082,Phoenix,AZ,Maricopa County,,,,,,,
27802,53,M,0.0,70,33183,1,0,Rent,50046,8/21/2015,Friday,Local,0,0.0,43,Broker,1,0.0,1,Medium,23321.50892,blue,12231.62426,0,50046,Cambridge,IA,Story County,1524.0,33.0,619.0,570.0,154900.0,65781.0,46.04
16621,29,M,0.0,75,122794,1,1,Rent,50007,10/6/2015,Tuesday,Local,0,0.0,100,Online,1,11023.6,15,Medium,15000.0,red,24970.6139,0,50007,Alleman,IA,Polk County,474.0,89.0,167.0,166.0,173600.0,73750.0,5.32
10251,58,M,1.0,81,96220,1,1,Own,50031,1/23/2016,Saturday,Parking Lot,0,0.0,73,Online,1,4100.18,1,Compact,36546.09856,silver,26861.03227,0,50031,Beaver,IA,Boone County,,,,,,,
28305,62,F,0.0,82,47886,1,1,Rent,20153,6/9/2015,Tuesday,Highway,1,0.0,19,Broker,0,0.0,1,Compact,15000.0,red,6122.923727,0,20153,Chantilly,VA,Fairfax County,,,,,,,
27423,53,M,1.0,60,96110,1,1,Rent,15004,8/15/2015,Saturday,Parking Lot,9,0.0,80,Broker,1,0.0,1,Medium,57034.00096,white,23002.17834,0,15004,Atlasburg,PA,Washington County,351.0,1120.0,153.0,140.0,88400.0,37284.0,0.31
23116,42,F,1.0,77,114966,0,1,Own,85063,9/7/2015,Monday,Parking Lot,8,0.0,15,Broker,0,0.0,8,Medium,60327.48215,white,16808.62504,0,85063,Phoenix,AZ,Maricopa County,,,,,,,
10839,55,F,0.0,71,95593,1,1,Rent,20109,12/14/2016,Wednesday,Local,6,0.0,25,Online,1,11014.19,1,Compact,33934.03199,silver,28674.42128,0,20109,Manassas,VA,Prince William County,37265.0,1819.0,13584.0,12852.0,230000.0,65017.0,20.49
27815,34,F,1.0,36,72694,1,1,Rent,15012,12/22/2016,Thursday,Parking Lot,0,0.0,63,Phone,1,0.0,1,Compact,38174.46938,black,25088.79993,0,15012,Belle Vernon,PA,Westmoreland County,15905.0,474.0,7326.0,6743.0,120400.0,51884.0,33.55
1545,37,F,1.0,76,102948,1,0,Rent,15021,1/21/2015,Wednesday,Local,0,0.0,16,Phone,1,0.0,4,Compact,15000.0,blue,50139.50337,0,15021,Burgettstown,PA,Washington County,7352.0,80.0,3294.0,3018.0,112600.0,51824.0,91.52
20435,32,F,0.0,58,51706,0,0,Own,80003,12/9/2016,Friday,Parking Lot,0,1.0,1,Broker,1,7047.04,1,Medium,77856.50021,other,15240.44562,0,80003,Arvada,CO,Jefferson County,35384.0,5193.0,14248.0,13672.0,206900.0,54688.0,6.81
17127,44,M,1.0,56,122808,1,1,Rent,85015,8/6/2015,Thursday,Parking Lot,2,0.0,97,Phone,1,4710.41,1,Large,15000.0,black,5474.827476,0,85015,Phoenix,AZ,Maricopa County,37644.0,7709.0,16495.0,13420.0,113400.0,30753.0,4.88
10797,44,M,0.0,86,122692,1,0,Rent,15025,12/29/2016,Thursday,Local,0,0.0,14,Broker,0,0.0,7,Medium,79316.00208,red,21938.15711,1,15025,Clairton,PA,Allegheny County,15944.0,963.0,7814.0,6830.0,102200.0,49548.0,16.56
4512,34,M,0.0,85,77151,0,0,Own,85020,7/27/2016,Wednesday,Parking Lot,0,0.0,46,Phone,0,2660.96,1,Medium,15000.0,black,23097.06381,0,85020,Phoenix,AZ,Maricopa County,32850.0,3695.0,17709.0,15114.0,167400.0,46037.0,8.89
5668,41,M,0.0,82,73244,0,1,Own,85083,5/4/2015,Monday,Local,0,0.0,40,Broker,1,2417.94,3,Large,35270.40558,white,34529.85395,1,85083,Phoenix,AZ,Maricopa County,18104.0,1838.0,6293.0,5871.0,281000.0,105101.0,9.85
3178,26,M,0.0,70,57047,0,0,Rent,20153,8/20/2016,Saturday,Local,0,0.0,61,Online,1,0.0,17,Large,25149.38917,silver,15928.24673,1,20153,Chantilly,VA,Fairfax County,,,,,,,
10992,32,F,1.0,79,111390,1,1,Own,50058,9/13/2016,Tuesday,Local,0,0.0,67,Phone,1,0.0,1,Large,15000.0,red,8042.099718,1,50058,Coon Rapids,IA,Carroll County,1927.0,14.0,902.0,803.0,77500.0,48412.0,140.57
16026,55,M,1.0,77,112388,1,1,Rent,80030,9/9/2016,Friday,Local,7,0.0,19,Broker,1,0.61,1,Large,22732.51204,blue,10069.99381,0,80030,Westminster,CO,Adams County,15329.0,5814.0,6381.0,5983.0,163600.0,39494.0,2.64
14214,45,M,1.0,75,83392,1,0,Own,20104,2/18/2016,Thursday,Local,0,0.0,63,Broker,0,3519.06,1,Large,65742.78817,other,24057.34357,1,20104,Dulles,VA,Loudoun County,,,,,,,
15351,38,M,0.0,78,76858,1,0,Rent,50001,11/16/2015,Monday,Local,0,1.0,0,Broker,1,2934.97,1,Medium,15000.0,white,26304.26366,1,50001,Ackworth,IA,Warren County,680.0,28.0,289.0,252.0,157000.0,46908.0,23.99
1282,73,M,1.0,84,37760,0,1,Own,20121,1/22/2015,Thursday,Local,22,0.0,82,Phone,1,4853.38,1,Medium,19328.79116,red,8847.616476,0,20121,Centreville,VA,Fairfax County,27988.0,3238.0,10357.0,9896.0,330700.0,92115.0,8.64
24961,32,M,1.0,63,104721,1,1,Own,15026,10/1/2015,Thursday,Highway,15,0.0,89,Broker,1,0.0,1,Compact,82488.11842,silver,50247.00069,1,15026,Clinton,PA,Beaver County,3390.0,101.0,1429.0,1325.0,157100.0,62639.0,33.51
8285,32,M,1.0,88,80496,1,1,Own,15022,6/5/2015,Friday,Highway,0,0.0,76,Phone,0,0.0,3,Large,15000.0,black,18917.81391,0,15022,Charleroi,PA,Washington County,10340.0,573.0,5391.0,4641.0,85600.0,40956.0,18.06
6176,23,F,1.0,82,103169,1,1,Rent,15053,5/5/2016,Thursday,Local,0,0.0,79,Online,1,3726.3,4,Large,15000.0,white,27699.83999,0,15053,Joffre,PA,Washington County,154.0,1753.0,70.0,65.0,86000.0,32857.0,0.09
23677,43,M,1.0,68,34038,1,1,Own,50041,2/17/2015,Tuesday,Highway,6,0.0,1,Broker,0,0.0,5,Large,28430.40091,other,11623.34135,0,50041,Bradford,IA,Franklin County,92.0,216.0,54.0,46.0,52100.0,43571.0,0.43
2472,33,M,1.0,81,103833,0,0,Rent,50059,8/1/2016,Monday,Local,0,0.0,71,Phone,1,2730.87,1,Large,73111.44772,other,13625.18504,1,50059,Cooper,IA,Greene County,,,,,,,
11459,34,F,1.0,77,121483,0,0,Own,20142,3/22/2015,Sunday,Local,0,0.0,96,Phone,1,5763.75,1,Compact,15000.0,other,12040.70696,0,20142,Round Hill,VA,Loudoun County,,,,,,,
10295,48,M,0.0,72,109282,1,1,Own,80011,3/27/2016,Sunday,Local,0,1.0,68,Broker,0,5403.92,1,Medium,15000.0,silver,33830.76134,0,80011,Aurora,CO,Arapahoe County,47461.0,1925.0,17531.0,16223.0,130600.0,40748.0,24.65
5588,61,M,1.0,85,66427,1,0,Own,50051,8/13/2015,Thursday,Local,1,0.0,3,Online,1,0.0,14,Medium,40343.22696,blue,30374.9108,0,50051,Clemons,IA,Marshall County,283.0,11.0,134.0,117.0,74200.0,68636.0,25.55
9661,45,M,0.0,89,55111,0,1,Own,20141,10/16/2015,Friday,Local,17,1.0,51,Phone,1,0.0,1,Compact,35355.45453,gray,14575.83075,0,20141,Round Hill,VA,Loudoun County,6131.0,225.0,2116.0,1987.0,402400.0,124180.0,27.23
25798,34,F,1.0,91,40612,1,0,Own,50021,12/21/2015,Monday,Local,2,0.0,2,Online,1,0.0,1,Medium,27700.75664,blue,21614.47743,0,50021,Ankeny,IA,Polk County,21595.0,839.0,9017.0,8627.0,171500.0,73377.0,25.75
4467,43,M,1.0,91,33199,1,1,Rent,20153,3/7/2016,Monday,Highway,4,0.0,3,Phone,1,5335.81,9,Compact,15000.0,white,11269.99873,0,20153,Chantilly,VA,Fairfax County,,,,,,,
10467,24,F,1.0,53,52237,0,1,Rent,15027,2/12/2015,Thursday,Parking Lot,9,0.0,76,Online,1,1087.18,5,Large,15000.0,black,17137.43667,1,15027,Conway,PA,Beaver County,2201.0,1529.0,1053.0,985.0,121100.0,42742.0,1.44
6374,25,F,0.0,46,46532,0,1,Rent,50006,9/29/2016,Thursday,Highway,6,0.0,89,Phone,0,0.0,5,Large,15000.0,silver,44540.82428,1,50006,Alden,IA,Hardin County,1676.0,14.0,761.0,696.0,80600.0,49146.0,122.63
21038,48,F,1.0,66,71427,1,1,Own,15001,8/31/2015,Monday,Local,11,0.0,21,Phone,1,4029.32,1,Compact,23574.83343,other,25547.4591,0,15001,Aliquippa,PA,Beaver County,31964.0,532.0,14820.0,13404.0,111200.0,51424.0,60.05
24728,45,F,1.0,69,111274,1,0,Own,50039,5/6/2015,Wednesday,Local,14,1.0,68,Broker,1,0.0,1,Large,16213.60251,white,6125.321691,0,50039,Bouton,IA,Dallas County,329.0,14.0,159.0,145.0,161900.0,66914.0,23.41
29563,41,F,0.0,79,116845,0,1,Own,85008,9/30/2015,Wednesday,Highway,0,0.0,50,Phone,1,0.0,1,Large,15000.0,other,11773.91353,0,85008,Phoenix,AZ,Maricopa County,56145.0,5364.0,23282.0,19676.0,109100.0,32109.0,10.47
23884,65,F,1.0,83,51575,0,1,Rent,15046,2/8/2015,Sunday,Parking Lot,10,1.0,50,Broker,1,4867.01,1,Medium,15000.0,gray,9230.07859,1,15046,Crescent,PA,Allegheny County,2640.0,1259.0,1131.0,1067.0,124200.0,56071.0,2.1
6321,47,M,0.0,70,79927,1,1,Rent,50021,6/28/2015,Sunday,Highway,0,0.0,48,Phone,1,0.0,6,Compact,27526.07906,red,24491.10542,0,50021,Ankeny,IA,Polk County,21595.0,839.0,9017.0,8627.0,171500.0,73377.0,25.75
660,35,M,1.0,67,107925,0,0,Own,15031,3/15/2015,Sunday,Local,8,0.0,97,Broker,1,0.0,8,Compact,15000.0,gray,11509.87497,0,15031,Cuddy,PA,Allegheny County,513.0,1101.0,247.0,223.0,95300.0,50259.0,0.47
26997,54,F,0.0,59,43983,0,0,Own,85074,4/6/2016,Wednesday,Local,0,0.0,78,Broker,1,0.0,4,Compact,15000.0,gray,13267.36955,0,85074,Phoenix,AZ,Maricopa County,,,,,,,
16090,52,F,0.0,61,91347,1,1,Own,20148,5/1/2015,Friday,Highway,0,1.0,27,Broker,0,0.0,1,Large,15000.0,silver,17360.76552,0,20148,Ashburn,VA,Loudoun County,28310.0,1739.0,9170.0,8806.0,536000.0,161433.0,16.28
12319,47,M,1.0,70,116953,0,0,Rent,85070,4/20/2015,Monday,Local,0,1.0,62,Phone,1,4343.2,2,Medium,15000.0,black,12804.7587,0,85070,Phoenix,AZ,Maricopa County,,,,,,,
19893,50,M,0.0,88,64576,1,1,Rent,15012,7/13/2015,Monday,Parking Lot,1,0.0,30,Broker,0,564.21,1,Medium,49232.09897,other,15285.81215,0,15012,Belle Vernon,PA,Westmoreland County,15905.0,474.0,7326.0,6743.0,120400.0,51884.0,33.55
10910,36,M,1.0,83,96965,0,0,Own,15001,5/18/2015,Monday,Local,3,1.0,17,Phone,1,423.59,1,Medium,15000.0,silver,47512.68947,0,15001,Aliquippa,PA,Beaver County,31964.0,532.0,14820.0,13404.0,111200.0,51424.0,60.05
13826,60,F,0.0,48,40423,0,1,Own,85036,9/30/2016,Friday,Parking Lot,7,0.0,51,Phone,0,1155.34,1,Compact,50744.4422,blue,29719.56646,0,85036,Phoenix,AZ,Maricopa County,,,,,,,
3600,42,M,0.0,82,121925,0,1,Own,20132,12/31/2016,Saturday,Local,0,0.0,83,Broker,1,0.0,1,Compact,20323.14285,white,15449.8524,0,20132,Purcellville,VA,Loudoun County,15900.0,192.0,5466.0,5154.0,470800.0,129180.0,82.91
5903,36,M,1.0,61,112153,1,1,Own,50020,7/10/2016,Sunday,Local,0,1.0,62,Broker,0,0.0,4,Medium,20951.01817,black,13466.99681,0,50020,Anita,IA,Cass County,1407.0,15.0,684.0,603.0,78900.0,47143.0,95.83
15010,49,F,1.0,60,72696,0,1,Own,80011,1/17/2016,Sunday,Highway,4,1.0,22,Broker,1,1942.53,1,Compact,17441.55869,black,5297.888158,0,80011,Aurora,CO,Arapahoe County,47461.0,1925.0,17531.0,16223.0,130600.0,40748.0,24.65
26575,54,M,1.0,73,59358,1,1,Own,85034,5/13/2015,Wednesday,Parking Lot,6,0.0,26,Broker,1,1451.79,6,Medium,15000.0,white,20982.68042,0,85034,Phoenix,AZ,Maricopa County,5582.0,489.0,2062.0,1629.0,123000.0,19509.0,11.42
1788,22,F,1.0,93,113083,1,1,Rent,15020,7/11/2015,Saturday,Local,0,0.0,40,Online,1,0.0,11,Large,15000.0,gray,7275.687393,0,15020,Bunola,PA,Allegheny County,231.0,175.0,121.0,106.0,24700.0,27250.0,1.32
4295,48,F,1.0,94,56172,1,1,Own,80001,12/13/2016,Tuesday,Local,9,0.0,99,Broker,0,0.0,3,Large,44605.11523,gray,38485.03538,0,80001,Arvada,CO,Jefferson County,,,,,,,
14844,46,F,1.0,83,60536,0,1,Rent,20101,5/12/2016,Thursday,Local,10,0.0,0,Phone,0,0.0,1,Compact,86487.81196,red,37477.68406,1,20101,Dulles,VA,Loudoun County,,,,,,,
26863,47,M,1.0,93,41292,1,0,Own,50012,11/3/2016,Thursday,Local,2,0.0,51,Phone,1,10072.88,1,Medium,35442.87357,blue,12113.26435,1,50012,Ames,IA,Story County,,,,,,,
20265,45,F,1.0,93,69274,1,1,Rent,85046,8/14/2016,Sunday,Local,13,1.0,55,Broker,1,2152.46,14,Compact,15000.0,white,33079.99978,0,85046,Phoenix,AZ,Maricopa County,,,,,,,
29134,73,F,1.0,62,36244,1,0,Rent,50009,1/25/2015,Sunday,Highway,0,1.0,71,Broker,1,0.0,5,Large,15000.0,red,19865.76642,0,50009,Altoona,IA,Polk County,16136.0,641.0,6319.0,6050.0,157700.0,64798.0,25.16
21984,69,M,0.0,32,76876,1,1,Rent,15020,8/19/2016,Friday,Local,0,1.0,1,Phone,1,0.0,1,Medium,60268.74884,red,20931.73785,0,15020,Bunola,PA,Allegheny County,231.0,175.0,121.0,106.0,24700.0,27250.0,1.32
15781,27,F,1.0,91,74634,1,1,Rent,20105,3/19/2015,Thursday,Parking Lot,0,1.0,91,Online,1,2661.7,4,Medium,15000.0,black,19353.36312,0,20105,Aldie,VA,Loudoun County,11315.0,305.0,3855.0,3682.0,448000.0,127464.0,37.13
12286,64,F,1.0,91,39922,0,1,Rent,15020,5/20/2016,Friday,Parking Lot,2,0.0,59,Broker,1,0.0,16,Compact,15000.0,black,39742.85307,0,15020,Bunola,PA,Allegheny County,231.0,175.0,121.0,106.0,24700.0,27250.0,1.32
14459,37,M,0.0,84,76230,1,1,Rent,20156,8/8/2015,Saturday,Local,13,1.0,16,Broker,1,4750.63,1,Medium,15000.0,gray,13809.17741,0,20156,Gainesville,VA,Prince William County,,,,,,,
28309,25,F,1.0,76,38661,1,1,Own,85034,10/13/2016,Thursday,Highway,0,1.0,65,Online,1,1130.36,1,Compact,27502.90401,silver,30403.80802,0,85034,Phoenix,AZ,Maricopa County,5582.0,489.0,2062.0,1629.0,123000.0,19509.0,11.42
4040,57,F,0.0,84,106080,1,0,Rent,50046,6/1/2016,Wednesday,Parking Lot,3,0.0,35,Phone,1,3273.25,1,Large,69397.48289,black,31717.59093,0,50046,Cambridge,IA,Story County,1524.0,33.0,619.0,570.0,154900.0,65781.0,46.04
13500,63,M,1.0,71,60945,0,1,Rent,15024,11/22/2016,Tuesday,Local,5,0.0,11,Broker,1,0.0,10,Compact,15000.0,gray,6923.250212,0,15024,Cheswick,PA,Allegheny County,9029.0,540.0,3924.0,3691.0,118200.0,53686.0,16.73
9870,37,M,1.0,79,50083,1,0,Own,15009,10/14/2015,Wednesday,Parking Lot,8,0.0,48,Phone,0,0.0,2,Medium,64688.32873,red,13598.50973,0,15009,Beaver,PA,Beaver County,15082.0,615.0,6839.0,6342.0,155400.0,54833.0,24.54
28810,45,M,1.0,79,110663,0,0,Rent,20144,4/2/2016,Saturday,Local,0,1.0,36,Online,1,138.52,1,Large,15000.0,silver,22439.79952,0,20144,Delaplane,VA,Fauquier County,1012.0,25.0,496.0,403.0,795100.0,115667.0,40.21
22763,46,M,0.0,64,79019,1,1,Own,80006,2/23/2016,Tuesday,Local,0,1.0,50,Phone,1,0.0,1,Compact,15000.0,white,21149.85245,1,80006,Arvada,CO,Jefferson County,,,,,,,
10679,47,F,1.0,67,62626,1,0,Rent,85076,9/2/2016,Friday,Local,6,1.0,60,Phone,0,1051.39,3,Medium,24706.83402,white,24950.99867,0,85076,Phoenix,AZ,Maricopa County,,,,,,,
3915,57,F,1.0,68,61608,1,0,Rent,20147,3/24/2015,Tuesday,Local,0,1.0,19,Phone,0,0.0,1,Compact,32404.28838,red,9557.529909,0,20147,Ashburn,VA,Loudoun County,54086.0,2721.0,19719.0,19046.0,444000.0,122115.0,19.87
28189,33,M,1.0,73,62127,1,1,Own,85028,8/3/2016,Wednesday,Parking Lot,1,0.0,1,Phone,0,2382.11,5,Compact,33993.13596,white,18022.631,0,85028,Phoenix,AZ,Maricopa County,19157.0,1911.0,8705.0,8143.0,284800.0,85058.0,10.02
12645,30,M,0.0,69,50162,0,1,Own,85075,8/10/2015,Monday,Highway,5,0.0,50,Broker,1,5681.96,17,Compact,90046.40784,gray,58543.82877,1,85075,Phoenix,AZ,Maricopa County,,,,,,,
26167,35,F,0.0,72,50242,0,1,Rent,15022,4/26/2016,Tuesday,Parking Lot,9,1.0,39,Phone,0,0.0,1,Large,15000.0,white,9989.808491,0,15022,Charleroi,PA,Washington County,10340.0,573.0,5391.0,4641.0,85600.0,40956.0,18.06
2408,30,F,1.0,58,102181,1,0,Own,15012,2/17/2015,Tuesday,Local,0,1.0,95,Broker,0,767.44,1,Compact,48861.27836,other,29095.84019,0,15012,Belle Vernon,PA,Westmoreland County,15905.0,474.0,7326.0,6743.0,120400.0,51884.0,33.55
24312,55,M,1.0,69,105636,1,0,Rent,15009,11/19/2015,Thursday,Local,6,0.0,50,Phone,1,0.0,1,Large,49193.79125,other,20702.43126,0,15009,Beaver,PA,Beaver County,15082.0,615.0,6839.0,6342.0,155400.0,54833.0,24.54
17168,45,M,1.0,60,78715,1,1,Own,50055,8/29/2016,Monday,Local,0,0.0,90,Broker,0,0.0,5,Compact,15000.0,black,14838.7075,0,50055,Collins,IA,Story County,913.0,19.0,408.0,370.0,147700.0,63920.0,48.67
2345,56,M,0.0,73,76067,0,0,Own,15046,11/10/2016,Thursday,Local,3,1.0,80,Broker,0,0.0,1,Medium,15000.0,white,18511.52799,0,15046,Crescent,PA,Allegheny County,2640.0,1259.0,1131.0,1067.0,124200.0,56071.0,2.1
3077,33,M,1.0,78,46868,0,1,Own,20143,8/9/2015,Sunday,Parking Lot,1,0.0,73,Broker,1,2965.81,1,Large,15000.0,red,23503.85285,0,20143,Catharpin,VA,Prince William County,1216.0,158.0,408.0,397.0,647900.0,139938.0,7.72
26669,55,F,1.0,72,121821,1,0,Own,80040,10/21/2015,Wednesday,Local,0,0.0,87,Broker,1,0.0,1,Medium,15000.0,red,23135.33761,0,80040,Aurora,CO,Arapahoe County,,,,,,,
5606,30,M,1.0,84,91090,1,0,Rent,20106,7/15/2016,Friday,Local,0,0.0,18,Broker,1,10645.08,1,Medium,15000.0,blue,19401.65362,0,20106,Amissville,VA,Culpeper County,5142.0,85.0,2040.0,1871.0,375800.0,80031.0,60.24
10500,47,F,1.0,58,98058,1,0,Own,80034,8/26/2016,Friday,Highway,0,1.0,5,Broker,0,0.0,1,Large,15000.0,other,40093.44679,0,80034,Wheat Ridge,CO,Jefferson County,,,,,,,
17135,47,F,0.0,66,121861,0,0,Rent,50005,11/2/2016,Wednesday,Parking Lot,25,0.0,26,Broker,0,0.0,1,Compact,15000.0,other,27272.876,0,50005,Albion,IA,Marshall County,730.0,27.0,318.0,299.0,85300.0,49239.0,26.78
6324,54,F,1.0,35,40672,1,1,Own,80017,11/2/2015,Monday,Parking Lot,6,0.0,79,Broker,1,0.0,11,Large,15000.0,white,30054.14022,0,80017,Aurora,CO,Arapahoe County,34270.0,5844.0,13688.0,12962.0,159200.0,49519.0,5.86
